name,url,description,stars,forks,language,created_at,updated_at
wizz13150/PDQ_Repo,https://github.com/wizz13150/PDQ_Repo,"PDQ Deploy Scripts, Tools, Utilities ... For IT daily Administration",89,16,Batchfile,2019-05-22T10:24:31Z,2025-11-04T00:44:45Z
repnz/shellcode2exe,https://github.com/repnz/shellcode2exe,Batch script to compile a binary shellcode blob into an exe file,87,13,Batchfile,2019-07-12T07:47:18Z,2025-10-04T13:58:29Z
AnthonyMusgrove/Emby-ScripterX,https://github.com/AnthonyMusgrove/Emby-ScripterX,Run custom external application or script (batch/bash/powershell/php/python/node.js/custom) on various events within the Emby Server.,86,6,Batchfile,2020-04-08T02:26:17Z,2025-10-27T11:07:09Z
sim0n00ps/L3-Dumping,https://github.com/sim0n00ps/L3-Dumping,Batch scripts to dump L3 CDM using frida-server and wvdumper,85,14,Batchfile,2023-08-08T19:26:00Z,2025-10-31T01:47:27Z
AnonKryptiQuz/I-Espresso,https://github.com/AnonKryptiQuz/I-Espresso,"I-Espresso is a tool that enables users to generate Portable Executable (PE) files from batch scripts. Leveraging IExpress, it demonstrates how file extension spoofing can be used to evade detection.",85,15,Batchfile,2024-10-05T12:49:38Z,2025-10-27T18:52:01Z
ai-joe-git/ComfyUI-Intel-Arc-Clean-Install-Windows-venv-XPU-,https://github.com/ai-joe-git/ComfyUI-Intel-Arc-Clean-Install-Windows-venv-XPU-,"This repository provides **fully automated batch scripts** to install and launch ComfyUI on Windows, optimized for both Intel Arc GPUs **and** Intel Ultra Core iGPUs (Meteor Lake/Core Ultra series) using the XPU backend.",82,3,Batchfile,2025-05-02T00:31:29Z,2025-11-03T11:32:40Z
vektort13/antiOS_batch,https://github.com/vektort13/antiOS_batch,Level 2B - OS unique identifiers spoof,82,40,Batchfile,2018-02-17T09:33:21Z,2025-10-10T08:18:31Z
Ec-25/FixIt,https://github.com/Ec-25/FixIt,A simple Script capable of optimizing and repairing almost any error that may occur on your Windows computer,80,2,Batchfile,2022-08-27T21:06:49Z,2025-10-27T15:31:05Z
SeregaSPb/Windows-10-batch-optimizer,https://github.com/SeregaSPb/Windows-10-batch-optimizer,"Autotuner Windows 10 for awesome perfomance setting, privacy and security.",80,28,Batchfile,2015-08-13T01:51:39Z,2025-10-29T20:34:28Z
VVFGAA/BreventBat,https://github.com/VVFGAA/BreventBat,,76,8,Batchfile,2019-04-05T17:40:50Z,2025-11-01T08:25:17Z
geekcomputers/Batch,https://github.com/geekcomputers/Batch,Some basic batch scripts,75,35,Batchfile,2012-06-11T18:27:09Z,2025-10-03T21:58:25Z
TarikSeyceri/Windows-10-Update-Disabler.bat,https://github.com/TarikSeyceri/Windows-10-Update-Disabler.bat,An executable cmd batch script that 100% Disables Windows 10 Update.,75,19,Batchfile,2020-09-11T14:18:01Z,2025-10-16T08:48:33Z
DosX-dev/BatchASM,https://github.com/DosX-dev/BatchASM,BatchASM - primitive virtual machine (high level assembly language) for executing instructions in programming language environment Windows Batch.,73,1,Batchfile,2023-11-20T19:56:28Z,2025-10-08T16:51:16Z
mrblomblo/yt-dlp-usage-script,https://github.com/mrblomblo/yt-dlp-usage-script,This script is made to make usage of YT-DLP easier.,72,5,Batchfile,2024-03-12T19:55:45Z,2025-11-03T14:44:51Z
edinsuta/youtube-dl-batch,https://github.com/edinsuta/youtube-dl-batch,Simple batch files for simplifying basic usage of https://github.com/rg3/youtube-dl Windows .exe releases,71,18,Batchfile,2018-06-18T19:39:50Z,2025-10-04T13:57:50Z
HadiKhoirudin/Qualcomm-Tool,https://github.com/HadiKhoirudin/Qualcomm-Tool,"For educational purposes, learn how a batch script can handle emmcdl process.",68,16,Batchfile,2022-07-14T19:32:19Z,2025-10-31T19:41:55Z
NabiKAZ/video2gif,https://github.com/NabiKAZ/video2gif,A batch script for convert video to GIF files by FFmpeg.exe on Windows,65,12,Batchfile,2017-04-22T22:58:47Z,2025-10-16T08:33:08Z
Archive-projects/Batch-File-examples,https://github.com/Archive-projects/Batch-File-examples,:shell: Various batch files (descriptions are in the read me file),64,19,Batchfile,2017-05-30T00:59:04Z,2025-10-04T13:55:15Z
TechnicalUserX/batch_wifi_brute_forcer,https://github.com/TechnicalUserX/batch_wifi_brute_forcer,An active attack tool against Wi-Fi networks with internal CMD commands,63,18,Batchfile,2020-12-15T07:34:52Z,2025-10-27T11:08:02Z
custom-dev-tools/wampserver-ssl-auto-config,https://github.com/custom-dev-tools/wampserver-ssl-auto-config,WampServer SSL Auto Config is a Microsoft Windows batch script designed to automatically generate and configure a fully working Apache SSL / Name Based virtual host development environment.,62,15,Batchfile,2020-06-14T13:41:32Z,2025-11-03T11:44:23Z
AliceDzindzik/menu-do-suporte,https://github.com/AliceDzindzik/menu-do-suporte,"Script batch (.bat) interativo para otimizar suporte técnico no Windows, automatizando reinício do sistema, limpeza de temporários, diagnóstico de rede, correção de erros comuns de impressão e ajustes de compartilhamento entre Windows 10 e 11 via PowerShell, aumentando a eficiência e reduzindo erros humanos.",57,18,Batchfile,2025-07-31T18:08:22Z,2025-10-28T15:34:35Z
minigueimeiros/office-365-cmd,https://github.com/minigueimeiros/office-365-cmd,Ativador Office 365,57,22,Batchfile,2021-03-02T01:08:57Z,2025-10-28T14:25:43Z
Hishiro64/av1an-win-script,https://github.com/Hishiro64/av1an-win-script,A Batch script that sets up Av1an with all it's dependencies in a portable workspace,56,5,Batchfile,2023-04-30T04:12:33Z,2025-11-01T02:53:21Z
jahwi/bget,https://github.com/jahwi/bget,A package manager for Windows scripts.,56,4,Batchfile,2018-11-22T01:36:55Z,2025-10-11T19:39:30Z
FoxP/rclone-backup,https://github.com/FoxP/rclone-backup,Just my rclone Windows batch scripts to backup / sync the second hard drive of my computer to pCloud (encrypted).,55,11,Batchfile,2018-07-30T16:47:16Z,2025-10-06T09:25:06Z
